How and what university students learn through online and face-to-face discussion: conceptions,  intentions and approaches
Common polygenic variation contributes to risk of schizophrenia and bipolar disorder., Schizophrenia is a severe mental disorder with a lifetime risk of about 1%
How Meaning Shapes Seeing, {ABSTRACT-} Inattentional blindness refers to the failure to see an unexpected object that one may be looking at directly when one's attention is elsewhere. We studied whether a stimulus whose meaning is relevant to the attentional goals of the observer will capture attention and escape inattentional blindness. The results showed that an unexpected stimulus belonging to the attended semantic category but not sharing physical features with the attended stimuli was detected more often than a semantically unrelated stimulus. This e铿€ect was larger when the unexpected stimuli were words than when they were pictures. The results imply that the semantic relation between the observer's attentional set and the unexpected stimulus plays a crucial role in inattentional blindness: An unexpected stimulus semantically related to the observer's current interests is likely to be seen
A tutorial on spectral clustering, In recent years
Phylogenomics of primates and their ancestral populations, 10.1101/gr.084228.108 Genome assemblies are now available for nine primate species
Comparative Genomics of Centrality and Essentiality in Three Eukaryotic Protein-Interaction Networks, Most proteins do not evolve in isolation
Genomic Relationships and Speciation Times of Human,  Chimpanzee
Applications of New Sequencing Technologies for Transcriptome Analysis, Transcriptome analysis has been a key area of biological inquiry for decades. Over the years
Relevance feedback in image retrieval: A comprehensive review, Abstract.&nbsp;&nbsp; We analyze the nature of the relevance feedback problem in a continuous representation space in the context of content-based image retrieval. Emphasis is put on exploring the uniqueness of the problem and comparing the assumptions
Comparison of Multiobjective Evolutionary Algorithms: Empirical Results, In this paper
A Formal Treatment of Generalized Preferential Attachment and its Empirical Validation, Generalized preferential attachment is defined as the tendency of a vertex to acquire new links in the future with respect to a particular vertex property. Understanding which properties influence the link acquisition tendency (LAT) gives us a predictive power to estimate the future growth of network and insight about the actual dynamics governing the complex networks. In this study
Measures of degeneracy and redundancy in biological networks, Degeneracy
Model-based variance-stabilizing transformation for Illumina microarray data., Variance stabilization is a step in the preprocessing of microarray data that can greatly benefit the performance of subsequent statistical modeling and inference. Due to the often limited number of technical replicates for Affymetrix and cDNA arrays
Global and regional climate changes due to black carbon, Black carbon in soot is the dominant absorber of visible solar radiation in the atmosphere. Anthropogenic sources of black carbon
The Evolutionary Dynamics Of Eukaryotic Gene Order, In eukaryotes
Diffusion-Limited Aggregation,  a Kinetic Critical Phenomenon
Coding-sequence determinants of gene expression in Escherichia coli., Synonymous mutations do not alter the encoded protein
A Fast Level Set Method for Propagating Interfaces, A method is introduced to decrease the computational labor of the standard level set method for propagating interfaces. The fast approach uses only points close to the curve at every time step. We describe this new algorithm and compare its efficiency and accuracy with the standard level set approach. 1 A Fast Level Set Implementation The level set technique was introduced in [9] to track moving interfaces in a wide variety of problems. It relies on the relation between propagating interfaces..."
Visualization of genomic data with the Hilbert curve, In many genomic studies
Kalign - an accurate and fast multiple sequence alignment algorithm, BACKGROUND:The alignment of multiple protein sequences is a fundamental step in the analysis of biological data. It has traditionally been applied to analyzing protein families for conserved motifs
The information paradox: A pedagogical introduction, The black hole information paradox is a very poorly understood problem. It is often believed that Hawking's argument is not precisely formulated
Systematic pathway analysis using high-resolution fitness profiling of combinatorial gene deletions, Systematic genetic interaction studies have illuminated many cellular processes. Here we quantitatively examine genetic interactions among 26 Saccharomyces cerevisiae genes conferring resistance to the DNA-damaging agent methyl methanesulfonate (MMS)
Altruism: A Review of Recent Theory and Research, The literature on altruism in social psychology
Dynamo: a public interactive surface supporting the cooperative sharing and exchange of media, In this paper we propose a novel way of supporting occasional meetings that take place in unfamiliar public places
Influence of conservation on calculations of amino acid covariance in multiple sequence alignments, It has long been argued that algorithms that find correlated mutations in multiple sequence alignments can be used to find structurally or functionally important residues in proteins. We examined the properties of four different methods for detecting these correlated mutations. On both simple
Genome-wide association study of 14, 000 cases of seven common diseases and 3
Image Retrieval: Ideas,  Influences
minet: A R/Bioconductor Package for Inferring Large Transcriptional Networks Using Mutual Information, RESULTS:This paper presents the R/Bioconductor package minet (version 1.1.6) which provides a set of functions to infer mutual information networks from a dataset. Once fed with a microarray dataset
Rete: A Fast Algorithm for the Many Pattern/Many Object Pattern Match Problem, The Rete Match Algorithm is an efficient method for comparing a large collection of patterns to a large collection of objects. It finds all the objects that match each pattern. The algorithm was developed for use in production system interpreters
What is a population? An empirical evaluation of some genetic methods for identifying the number of gene pools and their degree of connectivity, We review commonly used population definitions under both the ecological paradigm (which emphasizes demographic cohesion) and the evolutionary paradigm (which emphasizes reproductive cohesion) and find that none are truly operational. We suggest several quantitative criteria that might be used to determine when groups of individuals are different enough to be considered 'populations'. Units for these criteria are migration rate (m) for the ecological paradigm and migrants per generation (Nm) for the evolutionary paradigm. These criteria are then evaluated by applying analytical methods to simulated genetic data for a finite island model. Under the standard parameter set that includes L聽=聽20 High mutation (microsatellite-like) loci and samples of S聽=聽50 individuals from each of n聽=聽4 subpopulations
Mining navigation history for recommendation, Although a user's navigation history contains a lot of hidden information about the relationship between web pages and between users
Evolutionarily conserved networks of residues mediate allosteric communication in proteins, A fundamental goal in cellular signaling is to understand allosteric communication
Gene identification and protein classification in microbial metagenomic sequence data via incremental clustering, BACKGROUND:The identification and study of proteins from metagenomic datasets can shed light on the roles and interactions of the source organisms in their communities. However
The Java Context Awareness Framework (JCAF) 鈥?A Service Infrastructure and Programming Framework for Context-Aware Applications, Context-awareness is a key concept in ubiquitous computing. But to avoid developing dedicated context-awareness sub-systems for specific application areas there is a need for more generic programming frameworks. Such frameworks can help the programmer develop and deploy context-aware applications faster. This paper describes the Java Context-Awareness Framework 鈥?JCAF
Making Globalization Work, {<B>A bold new blueprint for action from one of globalization's closest observers and toughest critics.</B><BR><BR>An imaginative and
Magallanes: a web services discovery and automatic workflow composition tool, BACKGROUND:To aid in bioinformatics data processing and analysis
Text categorization by boosting automatically extracted concepts, Term-based representations of documents have found wide-spread use in information retrieval. However
Level Set Methods and Dynamic Implicit Surfaces, {This book is an introduction to level set methods and dynamic implicit surfaces. These are powerful techniques for analyzing and computing moving fronts in a variety of different settings. While it gives many examples of the utility of the methods to a diverse set of applications
An introduction to computational learning theory, Emphasizing issues of computational efficiency
The computational neurobiology of learning and reward,  Following the suggestion that midbrain dopaminergic neurons encode a signal
Voxel-based morphometry--the methods., At its simplest
Knowledge Networks: Explaining Effective Knowledge Sharing in Multiunit Companies, This paper introduces the concept of knowledge networks to explain why some business units are able to benefit from knowledge residing in other parts of the company while others are not. The core premise of this concept is that a proper understanding of effective interunit knowledge sharing in a multiunit firm requires a joint consideration of relatedness in knowledge content among business units and the network of lateral interunit relations that enables task units to access related knowledge. Results from a study of 120 new product development projects in 41 business units of a large multiunit electronics company showed that project teams obtained more existing knowledge from other units and completed their projects faster to the extent that they had short interunit network paths to units that possessed related knowledge. In contrast
How the mind works, {Why do fools fall in love? Why does a man's annual salary
Threshold Models of Collective Behavior, Models of collective behavior are developed for situations where actors have two alternatives and the costs and/or benefits of each depend on how many other actors choose which alternative. The key concept is that of ""threshold"": the number or proportion of others who must make one decision before a given actor does so; this is the point where net benefits begin to exceed net costs for that particular actor. Beginning with a frequency distribution of thresholds
lumi: a pipeline for processing Illumina microarray., Illumina microarray is becoming a popular microarray platform. The BeadArray technology from Illumina makes its preprocessing and quality control different from other microarray technologies. Unfortunately
The Temporal Logic of Actions, The temporal logic of actions (TLA) is a logic for specifying and reasoning about concurrent systems. Systems and their properties are represented in the same logic
Empirical fitness landscapes reveal accessible evolutionary paths, When attempting to understand evolution
Document Similarity Using a Phrase Indexing Graph Model, Document clustering techniques mostly rely on single term analysis of text
The Handbook of Brain Theory and Neural Networks, Dramatically updating and extending the first edition
Bioinformatics: an introduction for computer scientists, The article aims to introduce computer scientists to the new field of bioinformatics. This area has arisen from the needs of biologists to utilize and help interpret the vast amounts of data that are constantly being gathered in genomic research鈥攁nd its more recent counterparts
Tagommenders: connecting users to items through tags, Tagging has emerged as a powerful mechanism that enables users to 铿乶d
AGBNP: an analytic implicit solvent model suitable for molecular dynamics simulations and high-resolution modeling., We have developed an implicit solvent effective potential (AGBNP) that is suitable for molecular dynamics simulations and high-resolution modeling. It is based on a novel implementation of the pairwise descreening Generalized Born model for the electrostatic component and a new nonpolar hydration free energy estimator. The nonpolar term consists of an estimator for the solute-solvent van der Waals dispersion energy designed to mimic the continuum solvent solute-solvent van der Waals interaction energy
RCV1: A New Benchmark Collection for Text Categorization Research, Reuters Corpus Volume I (RCV1) is an archive of over 800
Mining sequential patterns, We are given a large database of customer transactions
Engineering stability in gene networks by autoregulation., The genetic and biochemical networks which underlie such things as homeostasis in metabolism and the developmental programs of living cells
Bimodal multicast, There are many methods for making a multicast protocol &ldquo;reliable.&rdquo; At one end of the spectrum
The powerful law of the power law and other myths in network biology, For almost 10 years
Associated Type Synonyms, Haskell programmers often use a multi-parameter type class in which one or more type parameters are functionally dependent on the first. Although such functional dependencies have proved quite popular in practice
Applying Common Identity and Bond Theory to Design of Online Communities, Online communities depend upon the commitment and voluntary participation of their members. Community design -- site navigation
Systematic functional characterization of cis-regulatory motifs in human core promoters, 10.1101/gr.6828808 A large number of -regulatory motifs involved in transcriptional control have been identified
Segment-based multiple sequence alignment, Motivation: Many multiple sequence alignment tools have been developed in the past
Chromatin dynamics and the preservation of genetic information, The integrity of the genome is frequently challenged by double-strand breaks in the DNA. Defects in the cellular response to double-strand breaks are a major cause of cancer and other age-related pathologies; therefore
Fitness and its role in evolutionary genetics,  Although the operation of natural selection requires that genotypes differ in fitness
Model-based adaptation for self-healing systems, Traditional mechanisms that allow a system to detect and recover from errors are typically wired into applications at the level of code where they are hard to change
RAxML-III: a fast program for maximum likelihood-based inference of large phylogenetic trees., Motivation: The computation of large phylogenetic trees with statistical models such as maximum likelihood or bayesian inference is computationally extremely intensive. It has repeatedly been demonstrated that these models are able to recover the true tree or a tree which is topologically closer to the true tree more frequently than less elaborate methods such as parsimony or neighbor joining. Due to the combinatorial and computational complexity the size of trees which can be computed on a Biologist's PC workstation within reasonable time is limited to trees containing approximately 100 taxa.               Results: In this paper we present the latest release of our program RAxML-III for rapid maximum likelihood-based inference of large evolutionary trees which allows for computation of 1.000-taxon trees in less than 24 hours on a single PC processor. We compare RAxML-III to the currently fastest implementations for maximum likelihood and bayesian inference: PHYML and MrBayes. Whereas RAxML-III performs worse than PHYML and MrBayes on synthetic data it clearly outperforms both programs on all real data alignments used in terms of speed and final likelihood values.               Availability Supplementary information: RAxML-III including all alignments and final trees mentioned in this paper is freely available as open source code at http://wwwbode.cs.tum/~stamatak                           Contact:                stamatak@cs.tum.edu"
RankProd: a bioconductor package for detecting differentially expressed genes in meta-analysis, Summary: While meta-analysis provides a powerful tool for analyzing microarray experiments by combining data from multiple studies
Learning the value of information in an uncertain world, Our decisions are guided by outcomes that are associated with decisions made in the past. However
Crowdsourcing: Why the Power of the Crowd Is Driving the Future of Business, 鈥淭he amount of knowledge and talent dispersed among the human race has always outstripped our capacity to harness it. Crowdsourcing 颅corrects that鈥攂ut in doing so
Artemis and ACT: viewing,  annotating and comparing sequences stored in a relational database.
Functional MRI: An Introduction to Methods, {This book provides a comprehensive introduction to functional magnetic resonance imaging(fMRI)
PhyME: A probabilistic algorithm for finding motifs in sets of orthologous sequences, BACKGROUND: This paper addresses the problem of discovering transcription factor binding sites in heterogeneous sequence data
Inference of selection from multiple species alignments., The selective pressure on a protein-coding gene can be measured by comparing silent (synonymous) and replacement (nonsynonymous) substitution rates. Higher replacement than silent rates provide unequivocal evidence for adaptive evolution driven by Darwinian selection. Previous employment of this criterion involved pairwise sequence comparison
Random Data: Analysis and Measurement Procedures, This is a new edition of a book on random data analysis which has been on the market since 1966 and which was extensively revised in 1971. The book has been a bestseller since. It has been fully updated to cover new procedures developed in the last 15 years and extends the discussion to a broad range of applied fields
Algorithms and Applications for Approximate Nonnegative Matrix Factorization, In this paper we survey the development and use of low-rank approximate non- negative matrix factorization (NMF) algorithms for feature extraction and identification in fields ranging from text mining to spectral data analysis. The evolution and convergence properties of hybrid methods based on both sparsity and smooth- ness constraints for the resulting nonnegative matrix factors are discussed. The interpretability of NMF outputs in specific contexts are provided along with opportunities for future work in the modification of NMF algorithms for large-scale and time-varying datasets"
Different processing phases for features,  figures
Combining statistical alignment and phylogenetic footprinting to detect regulatory elements., MOTIVATION: Traditional alignment-based phylogenetic footprinting approaches make predictions on the basis of a single assumed alignment. The predictions are therefore highly sensitive to alignment errors or regions of alignment uncertainty. Alternatively
Congestion Avoidance and Control, In October of '86
Strong Association of De Novo Copy Number Mutations with Autism, We tested the hypothesis that de novo copy number variation (CNV) is associated with autism spectrum disorders (ASDs). We performed comparative genomic hybridization (CGH) on the genomic DNA of patients and unaffected subjects to detect copy number variants not present in their respective parents. Candidate genomic regions were validated by higher-resolution CGH
Service Capacity of Peer to Peer Networks, We study the 'service capacity' of peer to peer (P2P) file sharing applications. We begin by considering a transient regime which is key to capturing the ability of such systems to handle bursty traffic
The PANTHER database of protein families,  subfamilies
Uncertainty-based competition between prefrontal and dorsolateral striatal systems for behavioral control, A broad range of neural and behavioral data suggests that the brain contains multiple systems for behavioral choice
Stochastic kinetic analysis of developmental pathway bifurcation in phage lambda-infected Escherichia coli cells., Fluctuations in rates of gene expression can produce highly erratic time patterns of protein production in individual cells and wide diversity in instantaneous protein concentrations across cell populations. {W}hen two independently produced regulatory proteins acting at low cellular concentrations competitively control a switch point in a pathway
A Survey of Augmented Reality, This paper surveys the field of Augmented Reality
Use of Speech Recognition in Computer-Assisted Language Learning, inear Model Combination and Model Merging. These algorithms are based on the assumption that the mother-tongue of a non-native speaker is known. The basic idea underlying most ndings of this thesis is that non-native speech can be modeled with a mixture of sounds of a speaker's native language and the target language. The newly developed speaker adaptation algorithms combine the acoustic models of the source and target language of a nonnative speaker. The algorithms only dier with regard to..."
Nonlinear elasticity,  proteinquakes
A map of human cancer signaling., We conducted a comprehensive analysis of a manually curated human signaling network containing 1634 nodes and 5089 signaling regulatory relations by integrating cancer-associated genetically and epigenetically altered genes. We find that cancer mutated genes are enriched in positive signaling regulatory loops
Beyond Mfold: recent advances in RNA bioinformatics., Computational analysis of RNA secondary structure is a classical field of biosequence analysis
Selecting good expansion terms for pseudo-relevance feedback, Pseudo-relevance feedback assumes that most frequent terms in the pseudo-feedback documents are useful for the retrieval. In this study
Linear prediction: A tutorial review, This paper gives an exposition of linear prediction in the analysis of discrete signals. The signal is modeled as a linear combination of its past values and present and past values of a hypothetical input to a system whose output is the given signal. In the frequency domain
Rfam: annotating non-coding RNAs in complete genomes., Rfam is a comprehensive collection of non-coding RNA (ncRNA) families
Designing Social Inquiry, {While heated arguments between practitioners of qualitative and quantitative research have begun to test the very integrity of the social sciences
Barcodes for genomes and applications, BACKGROUND:Each genome has a stable distribution of the combined frequency for each k-mer and its reverse complement measured in sequence fragments as short as 1000 bps across the whole genome
Normalization of cDNA microarray data, Normalization means to adjust microarray data for effects which arise from variation in the technology rather than from biological differences between the RNA samples or between the printed probes. This paper describes normalization methods based on the fact that dye balance typically varies with spot intensity and with spatial position on the array. Print-tip loess normalization provides a well-tested general purpose normalization method which has given good results on a wide range of arrays. The method may be refined by using quality weights for individual spots. The method is best combined with diagnostic plots of the data which display the spatial and intensity trends. When diagnostic plots show that biases still remain in the data after normalization
Framing Processes and Social Movements: An Overview and Assessment, The recent proliferation of scholarship on collective action frames and framing processes in relation to social movements indicates that framing processes have come to be regarded
Extracting human protein interactions from MEDLINE using a full-sentence parser., MOTIVATION: The living cell is a complex machine that depends on the proper functioning of its numerous parts
Administrative Behavior: A study of decision-making processes in administrative organizations, {In this fourth edition of his ground-breaking work
The notification collage: posting information to public and personal displays, The Notification Collage (NC) is a groupware system where distributed and co-located colleagues comprising a small community post media elements onto a real-time collaborative surface that all members can see. Akin to collages of information found on public bulletin boards
Global landscape of recent inferred Darwinian selection for Homo sapiens., By using the 1.6 million single-nucleotide polymorphism (SNP) genotype data set from Perlegen Sciences {$[$}Hinds
Collective dynamics of 'small-world' networks., Networks of coupled dynamical systems have been used to model biological oscillators1
Intrinsic protein disorder and interaction promiscuity are widely associated with dosage sensitivity., Summary Why are genes harmful when they are overexpressed? By testing possible causes of overexpression phenotypes in yeast
Relevance Weighting for Query Independent Evidence, In this paper Craswell et al document a way of combining standard document relevance ratings with static
Comparative modeling for protein structure prediction., With the progression of structural genomics projects
From Wikipedia to the classroom: exploring online publication and learning, Wikipedia represents an intriguing new publishing paradigm---can it be used to engage students in authentic collaborative writing activities? How can we design wiki publishing tools and curricula to support learning among student authors? We suggest that wiki publishing environments can create learning opportunities that address four dimensions of authenticity: personal
Genome sequencing and comparative analysis of Saccharomyces cerevisiae strain YJM789, We sequenced the genome of Saccharomyces cerevisiae strain YJM789
Understanding email use: predicting action on a message, Email consumes significant time and attention in the workplace. We conducted an organizational survey to understand how and why people attend to incoming email messages. We examined people's ratings of message importance and the actions they took on specific email messages
